CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700923040237607130","OBRES","01/06/2018","06/06/2018","6","41.5371109067295","2.44889627760796","POINT (2.44889627760796 41.5371109067295)"
"5120700923166050107130","MUNTATGE I DESMUNTATGE DE GRUES","18/06/2018","18/06/2018","1","41.5437602293705","2.45179156492467","POINT (2.45179156492467 41.5437602293705)"
"5120700923234532607130","OBRES","19/06/2018","19/06/2018","1","41.5378332339411","2.44314288136477","POINT (2.44314288136477 41.5378332339411)"
"5120700923252880107130","OBRES","23/06/2018","23/06/2018","1","41.5382126117178","2.42375575680887","POINT (2.42375575680887 41.5382126117178)"
"5120700923368018607130","BASTIDES I TANQUES","02/07/2018","01/08/2018","31","41.5368541548122","2.42187714352915","POINT (2.42187714352915 41.5368541548122)"
"5120700923554854607130","RESERVES D' ESTACIONAMENT","30/06/2018","30/06/2018","1","41.5441896802849","2.43215363710727","POINT (2.43215363710727 41.5441896802849)"
"5120700923604291107130","CÀRREGA I DESCÀRREGA DE MATERIALS","03/07/2018","03/07/2018","1","41.5405267931523","2.43693788426001","POINT (2.43693788426001 41.5405267931523)"
"5120700923632424107130","MUDANÇA","04/07/2018","04/07/2018","1","41.5427978874963","2.42651612488444","POINT (2.42651612488444 41.5427978874963)"
"5120700925880238107130","ACTES DIVERSOS AL CARRER","01/09/2018","01/09/2018","1","41.5508896925485","2.44208514702041","POINT (2.44208514702041 41.5508896925485)"
"5120700925979975107130","OBRES","06/09/2018","06/09/2018","1","41.5427398413373","2.44580967293805","POINT (2.44580967293805 41.5427398413373)"
"5120700926081476107130","CONTENIDOR DE RUNA","17/09/2018","17/09/2018","1","41.5480450679659","2.43147538303995","POINT (2.43147538303995 41.5480450679659)"
"5120700926082346107130","CONTENIDOR DE RUNA","17/09/2018","21/09/2018","5","41.5428553574727","2.44525240817081","POINT (2.44525240817081 41.5428553574727)"
"5120700926098534607130","RESERVES D' ESTACIONAMENT","24/09/2018","24/09/2018","1","41.545195348977","2.43594133097045","POINT (2.43594133097045 41.545195348977)"
"5120700926856269607130","CONTENIDOR DE RUNA","05/11/2018","09/11/2018","5","41.5382466224641","2.45188051694728","POINT (2.45188051694728 41.5382466224641)"
"5120700926856257107130","REHABILITACIÓ DE CONSTRUCCIONS","05/11/2018","06/11/2018","2","41.5327958374733","2.43761319641235","POINT (2.43761319641235 41.5327958374733)"
"5120700926856257607130","MUDANÇA","06/11/2018","06/11/2018","1","-.00111324866913157","-1.48947402150962","POINT (-1.48947402150962 -0.00111324866913157)"
"5120700919889508607130","MERCATS DE MARXANTS","02/01/2018","02/01/2018","1","41.5402192535795","2.44688506891772","POINT (2.44688506891772 41.5402192535795)"
"5120700920056347107130","RESERVES D' ESTACIONAMENT","05/03/2018","05/03/2018","1","41.5314151266464","2.43229933152008","POINT (2.43229933152008 41.5314151266464)"
"5120700920331476107130","MUDANÇA","20/02/2018","20/02/2018","1","41.5468911788973","2.44092459915778","POINT (2.44092459915778 41.5468911788973)"
"5120700920912244107130","RESERVES D' ESTACIONAMENT","06/03/2018","21/03/2018","16","41.5460553347847","2.42729753719824","POINT (2.42729753719824 41.5460553347847)"
"5120700920912220607130","ACTES CULTURALS","29/04/2018","29/04/2018","1","41.5379978942169","2.44474452962816","POINT (2.44474452962816 41.5379978942169)"
"5120700920912260107130","ACTES CULTURALS","29/04/2018","29/04/2018","1","41.539030566908","2.44403560136941","POINT (2.44403560136941 41.539030566908)"
"5120700921117378607130","RASES I CATES","07/04/2018","09/04/2018","3","41.5339420488385","2.42511231851269","POINT (2.42511231851269 41.5339420488385)"
"5120700921451242607130","OBRES","26/03/2018","26/03/2018","1","41.5405346020178","2.4472813002773","POINT (2.4472813002773 41.5405346020178)"
"5120700921453710607130","ACTES DIVERSOS AL CARRER","21/03/2018","21/03/2018","1","41.5393153054319","2.45113943134437","POINT (2.45113943134437 41.5393153054319)"
"5120700921602886107130","NETEJES ESPECIALS","28/03/2018","28/03/2018","1","41.5564941620458","2.4495417636405","POINT (2.4495417636405 41.5564941620458)"
"5120700921718654607130","CONTENIDOR DE RUNA","05/04/2018","13/04/2018","9","41.5373586516488","2.42467029743218","POINT (2.42467029743218 41.5373586516488)"
"5120700921841745607130","RESERVES D'ESTACIONAMENT PUNTUAL","12/04/2018","12/04/2018","1","41.5387484021517","2.44174438247593","POINT (2.44174438247593 41.5387484021517)"
"5120700921994028107130","MUDANÇA","20/04/2018","20/04/2018","1","41.5390473559822","2.43615881102165","POINT (2.43615881102165 41.5390473559822)"
"5120700921994078107130","MUDANÇA","24/04/2018","24/04/2018","1","41.5350927806265","2.44728101973263","POINT (2.44728101973263 41.5350927806265)"
"5120700921994110107130","SAC DE RUNA","23/04/2018","27/04/2018","5","41.5414671025751","2.42191934284389","POINT (2.42191934284389 41.5414671025751)"
"5120700922157335107130","RESERVES D' ESTACIONAMENT","27/04/2018","27/04/2018","1","41.54026635549","2.42956190393568","POINT (2.42956190393568 41.54026635549)"
"5120700922157749107130","CONTENIDOR DE RUNA","02/05/2018","01/06/2018","31","41.5487047016323","2.44035482906982","POINT (2.44035482906982 41.5487047016323)"
"5120700925132169107130","BASTIDES I TANQUES","01/08/2018","01/10/2018","62","41.5393704238224","2.44469993305835","POINT (2.44469993305835 41.5393704238224)"
"5120700922746863607130","SAC DE RUNA","24/05/2018","24/05/2018","1","41.5353789190888","2.44566117731067","POINT (2.44566117731067 41.5353789190888)"
"5120700922804260607130","ACTES CULTURALS","03/06/2018","03/06/2018","1","41.5399756288922","2.42500434644143","POINT (2.42500434644143 41.5399756288922)"
"5120700923193326607130","ACTES DIVERSOS AL CARRER","15/06/2018","15/06/2018","1","41.544032261861","2.45369561632996","POINT (2.45369561632996 41.544032261861)"
"5120700923358177107130","RASES I CATES","02/07/2018","11/07/2018","10","41.5388774751595","2.45389130310099","POINT (2.45389130310099 41.5388774751595)"
"5120700923486097107130","CÀRREGA I DESCÀRREGA DE MATERIALS","03/07/2018","03/07/2018","1","41.5315572164598","2.43878678020356","POINT (2.43878678020356 41.5315572164598)"
"5120700923866643107130","RESERVES D' ESTACIONAMENT","10/07/2018","10/07/2018","1","41.5380135637963","2.4448914264581","POINT (2.4448914264581 41.5380135637963)"
