CODI_ACCES,ADRECA,EPIGRAF_IAE,EPIGRAF_DESC,LAT,LNG,WKT
"100700900053463507130","RONDA d'Alfons X el Savi, 25","5041","INSTALACIONES ELECTRICAS EN GENERAL","41.5452741245125","2.44353000567063","POINT (2.44353000567063 41.5452741245125)"
"100700900053438007130","RONDA d'Alfons X el Savi, 19","6471","COM.MEN.PTOS.ALIMENTICIOS Y BEBIDAS","41.5452272331942","2.44337979201765","POINT (2.44337979201765 41.5452272331942)"
"100700900053583807130","RONDA d'Alfons X el Savi, 50","6715","RESTAURANTES DE UN TENEDOR","41.5455196364061","2.44519529001614","POINT (2.44519529001614 41.5455196364061)"
"100700900053290207130","RONDA d'Alfons XII, 63","721","AGENTES COLEGIADOS PROPIEDAD IND.E INMOB","41.5356873356971","2.43842998654846","POINT (2.43842998654846 41.5356873356971)"
"100700900053266607130","RONDA d'Alfons XII, 50","6732","OTROS CAFES Y BARES","41.5355956839917","2.43887427054587","POINT (2.43887427054587 41.5355956839917)"
"100700900054840407130","C. d'Argentona, 59","6746","CAFE-BAR TEATROS Y CINES","41.5407359444506","2.44119956361734","POINT (2.44119956361734 41.5407359444506)"
"100700900053336007130","RONDA d'Alfons XII, 97","411","REPRODUCTORAS DE PUESTA","41.5363325475686","2.43762626063255","POINT (2.43762626063255 41.5363325475686)"
"100700900053290207130","RONDA d'Alfons XII, 63","842","SERVICIOS FINANCIEROS Y CONTABLES","41.5356873356971","2.43842998654846","POINT (2.43842998654846 41.5356873356971)"
"100700900053260007130","RONDA d'Alfons XII, 40","6732","OTROS CAFES Y BARES","41.5353448060688","2.43918725217841","POINT (2.43918725217841 41.5353448060688)"
"100700900053599107130","RONDA d'Alfons X el Savi, 54","6474","COM.MEN.PTOS.ALIMENTICIOS SUP.400 M2","41.5456537742201","2.44599378757757","POINT (2.44599378757757 41.5456537742201)"
"100700900053336007130","RONDA d'Alfons XII, 97","411","ARQUITECTOS","41.5363325475686","2.43762626063255","POINT (2.43762626063255 41.5363325475686)"
"100700900053286207130","RONDA d'Alfons XII, 59","6912","REPARACION AUTOMOVILES Y BICICLETAS","41.5356248971907","2.43850718977077","POINT (2.43850718977077 41.5356248971907)"
"100700900053258507130","RONDA d'Alfons XII, 39","6534","COM.MEN.MATERIALES DE CONSTRUCCION","41.5350709894296","2.43919999828046","POINT (2.43919999828046 41.5350709894296)"
"100700900053091807130","C. de Rafael Carreras, 18","5041","INSTALACIONES ELECTRICAS EN GENERAL","41.547460433388","2.4526399298026","POINT (2.4526399298026 41.547460433388)"
"100700900053811207130","C. dels Almogxvers, 41","6732","OTROS CAFES Y BARES","41.5378255058824","2.42211514501423","POINT (2.42211514501423 41.5378255058824)"
"100700900053527907130","RONDA d'Alfons X el Savi, 37","731","ABOGADOS","41.5455360550524","2.44436734663216","POINT (2.44436734663216 41.5455360550524)"
"100700900405684207130","C. del Germx Francisco, 9","6732","OTROS CAFES Y BARES","41.5464408876493","2.45345040947739","POINT (2.45345040947739 41.5464408876493)"
"100700900054865907130","C. d'Argentona, 70","9711","TINTE,LIMP. SECO, LAVADO Y PLANCHADO","41.5408385036592","2.44136111570405","POINT (2.44136111570405 41.5408385036592)"
"100700900053565707130","PG. d'Antoni Martx Cabanellas, 1","6142","COM.MAY.PTOS.PERFUMERIA,DROGUERIA","41.5458921870555","2.44490332382631","POINT (2.44490332382631 41.5458921870555)"
"100700900053275607130","RONDA d'Alfons XII, 54","6714","RESTAURANTES DE DOS TENEDORES","41.5356706313085","2.43878162927844","POINT (2.43878162927844 41.5356706313085)"
"100700900053363107130","RONDA d'Alfons XII, 143","3161","FAB. HERRAMIENTAS MANUALES","41.5372793910966","2.43644840392039","POINT (2.43644840392039 41.5372793910966)"
"100700900054870107130","C. d'Argentona, 73","9722","SALONES E INSTITUTOS DE BELLEZA","41.540672805307","2.44073757898346","POINT (2.44073757898346 41.540672805307)"
"100700900053546107130","RONDA d'Alfons X el Savi, 41","6532","COM.MEN.APARATOS DE USO DOMESTICO","41.5456073878103","2.44459501133825","POINT (2.44459501133825 41.5456073878103)"
"100700900053751107130","C. dels Almogxvers, 2","6912","REPARACION AUTOMOVILES Y BICICLETAS","41.5365586397473","2.42291150017258","POINT (2.42291150017258 41.5365586397473)"
"100700900053104107130","C. de Rafael Carreras, 25","4369","TEXTILES APRESTADOS Y MERCERIZADOS","41.5473629890796","2.45281845726489","POINT (2.45281845726489 41.5473629890796)"
"100700900054870107130","C. d'Argentona, 73","9429","OTROS SERV. SANITARIOS","41.540672805307","2.44073757898346","POINT (2.44073757898346 41.540672805307)"
"100700900053546107130","RONDA d'Alfons X el Savi, 41","9721","SERV. PELUQUERIA SENORAS Y CABALLEROS","41.5456073878103","2.44459501133825","POINT (2.44459501133825 41.5456073878103)"
"100700900053527907130","RONDA d'Alfons X el Savi, 37","6531","COM.MEN.MUEBLES (EXCEPTO OFICINA)","41.5455360550524","2.44436734663216","POINT (2.44436734663216 41.5455360550524)"
"100700900054840407130","C. d'Argentona, 59","834","SERV. PROPIEDAD INMOBILIARIA E INDUSTRIA","41.5407359444506","2.44119956361734","POINT (2.44119956361734 41.5407359444506)"
"100700900054871507130","C. d'Argentona, 74","6591","COM.MEN.SELLOS,MONEDAS,MEDALLAS,COLECC.","41.5408205013997","2.44123084384184","POINT (2.44123084384184 41.5408205013997)"
"100700900053290207130","RONDA d'Alfons XII, 63","747","AUDITORES DE CUENTAS Y CENSORES JURADOS","41.5356873356971","2.43842998654846","POINT (2.43842998654846 41.5356873356971)"
"100700900053527907130","RONDA d'Alfons X el Savi, 37","9339","OTROS ACTIV. ENSExANZA","41.5455360550524","2.44436734663216","POINT (2.44436734663216 41.5455360550524)"
"100700900054840407130","C. d'Argentona, 59","834","ODONTOLOGOS","41.5407359444506","2.44119956361734","POINT (2.44119956361734 41.5407359444506)"
"100700900054873507130","C. d'Argentona, 75","9733","SERV. COPIAS DOCUMENTOS MAQ.FOTOCOPIA","41.5406640084532","2.44067742391509","POINT (2.44067742391509 41.5406640084532)"
"100700900055422807130","C. de Barcelona, 30","6512","COM.MEN.PRENDAS DE VESTIR Y TOCADO","41.5386806061035","2.44605239757668","POINT (2.44605239757668 41.5386806061035)"
"100700900054878807130","C. d'Argentona, 77","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.540654785101","2.44061435259382","POINT (2.44061435259382 41.540654785101)"
"100700900055411207130","C. de Barcelona, 24","6715","RESTAURANTES DE UN TENEDOR","41.5385415641047","2.44571012903087","POINT (2.44571012903087 41.5385415641047)"
"100700900055416607130","C. de Barcelona, 26","6533","COM.MEN.ART.MENAJE,FERRETERIA,ADORNO","41.5386267762393","2.44590991892161","POINT (2.44590991892161 41.5386267762393)"
"100700900055434407130","C. de Barcelona, 33","6732","OTROS CAFES Y BARES","41.5387512434818","2.44613704876747","POINT (2.44613704876747 41.5387512434818)"
"100700900054878807130","C. d'Argentona, 77","6441","COM.MEN.PAN,PASTELES,CONFITERIA,LACTEOS","41.540654785101","2.44061435259382","POINT (2.44061435259382 41.540654785101)"
