ZONA,CODI_US,DESCRIPCIO_US,LAT,LNG,WKT
"Usos Sòl","ZV","Zona Verda","41,5326698175405","2,44401818590751","POINT (2.44401818590751 41.5326698175405)"
"Usos Sòl","EQ","Equipament","41,5333775776519","2,44548933627879","POINT (2.44548933627879 41.5333775776519)"
"Usos Sòl","INT","Interior","41,5341865292952","2,4448427325219","POINT (2.4448427325219 41.5341865292952)"
"Usos Sòl","INT","Interior","41,5308090845581","2,42756334625403","POINT (2.42756334625403 41.5308090845581)"
"Usos Sòl","ZV","Zona Verda","41,535915323518","2,42180406933513","POINT (2.42180406933513 41.535915323518)"
"Usos Sòl","ZV","Zona Verda","41,5361890645421","2,42163611402588","POINT (2.42163611402588 41.5361890645421)"
"Usos Sòl","VIA","Vials","41,5407844693002","2,45540073334562","POINT (2.45540073334562 41.5407844693002)"
"Usos Sòl","VIA","Vials","41,5401690522306","2,45715324531317","POINT (2.45715324531317 41.5401690522306)"
"Usos Sòl","PLATJA","Platja","41,5420058423733","2,4603127065991","POINT (2.4603127065991 41.5420058423733)"
"Usos Sòl","INT","Interior","41,5408292206173","2,45693186638472","POINT (2.45693186638472 41.5408292206173)"
"Usos Sòl","INT","Interior","41,5344280058799","2,4453142459109","POINT (2.4453142459109 41.5344280058799)"
"Usos Sòl","TR","Transit Reduït","41,531033356538","2,44730751596502","POINT (2.44730751596502 41.531033356538)"
"Usos Sòl","ESC","Escola","41,535540946597","2,44652588156254","POINT (2.44652588156254 41.535540946597)"
"Usos Sòl","EQ","Equipament","41,535743317446","2,44702667563248","POINT (2.44702667563248 41.535743317446)"
"Usos Sòl","EQ","Equipament","41,5360243819102","2,4473450208031","POINT (2.4473450208031 41.5360243819102)"
"Usos Sòl","EQ","Equipament","41,5370622089676","2,44652992767655","POINT (2.44652992767655 41.5370622089676)"
"Usos Sòl","INT","Interior","41,5303589447557","2,42553653973177","POINT (2.42553653973177 41.5303589447557)"
"Usos Sòl","INT","Interior","41,5295660806928","2,42304886149406","POINT (2.42304886149406 41.5295660806928)"
